spec_id,treatment_variant,sample_variant,event_date_type,headline_bucket,n_events,DGS10_d1,DGS10_d3,DGS2_d1,DGS2_d3,DGS30_d1,DGS30_d3,SP500_d1,SP500_d3,THREEFYTP10_d1,THREEFYTP10_d3,VIXCLS_d1,VIXCLS_d3,slope_10y_2y_d1,slope_10y_2y_d3,slope_30y_2y_d1,slope_30y_2y_d3,overlap_exclusion_note
spec_qra_event_v2,event_window_deltas_v1,all_events,official_release_date,control_hold,3,-0.016666666666667,-0.0366666666666669,0.01,-0.01,-0.0266666666666664,-0.02,-16.576666666666366,-15.650000000000093,-0.0038,-0.0149333333333333,-0.7299999999999999,-1.3233333333333324,-0.0266666666666671,-0.0266666666666668,-0.0366666666666664,-0.0099999999999999,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,all_events,official_release_date,easing,2,-0.0750000000000001,-0.0650000000000001,-0.1199999999999998,-0.0799999999999998,-0.05,-0.0499999999999997,84.375,47.684999999999945,-0.0365999999999999,-0.0331499999999999,-2.549999999999999,-0.2650000000000005,0.0449999999999996,0.0149999999999996,0.0699999999999998,0.03,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,all_events,official_release_date,tightening,2,-0.0149999999999998,0.0400000000000002,-0.06,-0.1199999999999998,0.0199999999999998,0.1099999999999998,-46.08499999999958,-66.59999999999968,-0.0172,-0.01415,1.3599999999999994,2.1499999999999995,0.0450000000000001,0.1600000000000001,0.0799999999999998,0.2299999999999997,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,all_events,market_pricing_marker_minus_1d,control_hold,3,0.0600000000000003,0.0433333333333333,0.0866666666666668,0.0966666666666669,0.0133333333333333,-0.013333333333333,-41.26666666666688,-57.84333333333325,0.0243333333333333,0.0205333333333333,0.6666666666666669,-0.0633333333333331,-0.0266666666666665,-0.0533333333333336,-0.0733333333333335,-0.1099999999999999,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,all_events,market_pricing_marker_minus_1d,easing,2,-0.01,-0.0850000000000001,0.0449999999999999,-0.0749999999999999,-0.02,-0.07,23.539999999999964,107.91499999999996,0.0050999999999999,-0.0314999999999999,-2.3500000000000014,-4.9,-0.0549999999999998,-0.0100000000000002,-0.0649999999999999,0.0049999999999998,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,all_events,market_pricing_marker_minus_1d,tightening,2,-0.0350000000000001,-0.05,-0.0649999999999997,-0.1249999999999997,-0.0149999999999994,0.0050000000000003,-30.260000000000225,-76.3449999999998,-0.01355,-0.03075,1.0000000000000009,2.3600000000000003,0.0299999999999995,0.0749999999999996,0.0500000000000002,0.13,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,official_release_date,control_hold,3,-0.016666666666667,-0.0366666666666669,0.01,-0.01,-0.0266666666666664,-0.02,-16.576666666666366,-15.650000000000093,-0.0038,-0.0149333333333333,-0.7299999999999999,-1.3233333333333324,-0.0266666666666671,-0.0266666666666668,-0.0366666666666664,-0.0099999999999999,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,official_release_date,easing,2,-0.0750000000000001,-0.0650000000000001,-0.1199999999999998,-0.0799999999999998,-0.05,-0.0499999999999997,84.375,47.684999999999945,-0.0365999999999999,-0.0331499999999999,-2.549999999999999,-0.2650000000000005,0.0449999999999996,0.0149999999999996,0.0699999999999998,0.03,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,official_release_date,tightening,2,-0.0149999999999998,0.0400000000000002,-0.06,-0.1199999999999998,0.0199999999999998,0.1099999999999998,-46.08499999999958,-66.59999999999968,-0.0172,-0.01415,1.3599999999999994,2.1499999999999995,0.0450000000000001,0.1600000000000001,0.0799999999999998,0.2299999999999997,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,market_pricing_marker_minus_1d,control_hold,3,0.0600000000000003,0.0433333333333333,0.0866666666666668,0.0966666666666669,0.0133333333333333,-0.013333333333333,-41.26666666666688,-57.84333333333325,0.0243333333333333,0.0205333333333333,0.6666666666666669,-0.0633333333333331,-0.0266666666666665,-0.0533333333333336,-0.0733333333333335,-0.1099999999999999,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,market_pricing_marker_minus_1d,easing,2,-0.01,-0.0850000000000001,0.0449999999999999,-0.0749999999999999,-0.02,-0.07,23.539999999999964,107.91499999999996,0.0050999999999999,-0.0314999999999999,-2.3500000000000014,-4.9,-0.0549999999999998,-0.0100000000000002,-0.0649999999999999,0.0049999999999998,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
spec_qra_event_v2,event_window_deltas_v1,overlap_excluded,market_pricing_marker_minus_1d,tightening,2,-0.0350000000000001,-0.05,-0.0649999999999997,-0.1249999999999997,-0.0149999999999994,0.0050000000000003,-30.260000000000225,-76.3449999999998,-0.01355,-0.03075,1.0000000000000009,2.3600000000000003,0.0299999999999995,0.0749999999999996,0.0500000000000002,0.13,overlap_excluded is identical to all_events because no overlap-annotated events were flagged.
